strategy_variant,timeframe,threshold,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
baseline,15minute,3.0,below,1.0,0.5,3703.0,30.380772346745882,-0.06284731874996811,0.9220813261969575,-0.4926552029878623,-232.72362133113194,0.8167624487173326,-0.06284731874996811,-0.09467328292857947,-248.14650331917443,1.7188765865514448,26.519038617337294,68.21496084256009,5.2660005401026195
baseline,15minute,3.0,below,1.5,0.5,3647.0,25.911708253358924,-0.04288835507995222,1.2422787443591667,-0.49236389503922956,-156.41383097658576,0.8824280801895423,-0.04288835507995222,-0.05381962661124756,-193.3283441578813,2.0457910611461476,18.864820400329037,72.552783109405,8.582396490265971
baseline,15minute,4.0,above,1.0,0.5,1335.0,29.363295880149813,-0.061531792876385764,0.9725899859886038,-0.4914106235392446,-82.14494348997499,0.8227343443105226,-0.061531792876385764,-0.09139193183420145,-87.49705577576766,1.256179775280899,28.164794007490634,69.13857677902622,2.696629213483146
baseline,15minute,4.0,above,1.5,0.5,1329.0,26.410835214446955,0.005055461673778513,1.3868266005553158,-0.49085626608431926,6.718708564451644,1.013995635041452,0.005055461673778513,0.005970081880436788,-33.13119498206302,1.4604966139954854,23.175319789315274,71.93378480060196,4.890895410082769
baseline,15minute,4.0,below,1.0,0.5,1048.0,26.431297709923662,-0.1058802750755265,0.9788148603421175,-0.49558267781312365,-110.96252827915177,0.7095938244317697,-0.1058802750755265,-0.16183893450337697,-119.10734841309343,1.4971374045801527,25.190839694656486,72.80534351145039,2.0038167938931295
baseline,15minute,4.0,below,1.5,0.5,1035.0,22.801932367149757,-0.06603231801824079,1.385737315861862,-0.49484037007794573,-68.34344914887922,0.8271437883851658,-0.06603231801824079,-0.0821995568619387,-84.1525158937349,1.718840579710145,19.516908212560384,76.23188405797102,4.251207729468599
baseline,1minute,1.5,above,1.0,0.5,100266.0,36.33235593321764,0.006611972872127494,0.8644469011333925,-0.4829171184327524,662.9560719967353,1.0215050116833595,0.006611972872127494,0.0098211201099001,-517.9274778170463,28.695579757844136,28.691680130851932,60.492091037839344,10.816228831308718
baseline,1minute,1.5,above,1.5,0.5,97106.0,31.077379358639014,0.007700057297862307,1.0945545287619587,-0.48236530009879525,747.7217639662172,1.0231609365171952,0.007700057297862307,0.009742889409294712,-527.3185632808885,40.76587440528907,18.165715815706548,65.36465305954317,16.469631124750272
baseline,1minute,1.5,below,1.0,0.5,97815.0,35.6775545672954,-0.014274539581687704,0.82237823851079,-0.47833844361193845,-1396.2640891827828,0.9536057374518424,-0.014274539581687704,-0.021783704858465824,-1647.3286632815039,35.334785053417164,26.181056075244086,60.35066196391147,13.468281960844452
baseline,1minute,1.5,below,1.5,0.5,94967.0,30.890730464266536,-0.0166484870687139,1.0149873382170307,-0.47777308627614035,-1581.0568714545527,0.949578380714002,-0.0166484870687139,-0.02185174602524194,-2032.1709993155353,46.626543957374665,16.532058504533154,64.73406551749555,18.733875977971294
baseline,1minute,2.0,above,1.0,0.5,50046.0,36.34656116372937,0.01620918661910642,0.8973119834487399,-0.4869067059703911,811.2049535397998,1.0522990253442277,0.01620918661910642,0.023655250704064986,-253.2885922419997,20.105922551252846,30.432002557646964,61.20369260280542,8.364304839547616
baseline,1minute,2.0,above,1.5,0.5,48476.0,30.443931017410677,0.01871187232873836,1.1721454315597564,-0.48613338738807066,907.0767230079208,1.0553384214901413,0.01871187232873836,0.023005122328051266,-282.75894122850684,29.721305388233354,20.020216189454576,66.73611684132355,13.243666969221882
baseline,1minute,2.0,below,1.0,0.5,45138.0,36.317515175683454,0.0030967321854873573,0.8548941263112578,-0.4826752170892998,139.78029738852834,1.010074619359417,0.0030967321854873573,0.00462012948322603,-302.21212761778685,26.61130311489211,28.28437236917896,60.55651557446055,11.159112056360494
baseline,1minute,2.0,below,1.5,0.5,43718.0,30.87057962395352,0.0003052554443544151,1.0802912778905156,-0.4819755783500136,13.34515751628632,1.0009161687409411,0.0003052554443544151,0.00038826393597526064,-444.2892111682736,36.383571984079786,18.248776247769797,65.60455647559358,16.146667276636624
baseline,1minute,3.0,above,1.0,0.5,14325.0,35.909249563699824,0.023504583804334112,0.9448576678907753,-0.4927180787096245,336.70316299708617,1.0744318324643407,0.023504583804334112,0.03356549370752377,-50.13660177561903,10.778568935427574,32.64921465968587,62.75043630017451,4.600349040139616
baseline,1minute,3.0,above,1.5,0.5,13877.0,29.624558622180587,0.040470873954343456,1.3059958696960272,-0.49225217104812036,561.6143178644242,1.1168244677404113,0.040470873954343456,0.04749145384326993,-43.76548761984469,16.193341500324276,23.40563522375153,68.81170281761187,7.782661958636592
baseline,1minute,3.0,below,1.0,0.5,10463.0,36.27066806843162,0.0148322696353764,0.8985443247125808,-0.48812022721795156,155.19003719494327,1.047680570300742,0.0148322696353764,0.02162548791225902,-78.14474812605746,15.721016916754277,30.478830163433052,61.59801204243524,7.923157794131702
baseline,1minute,3.0,below,1.5,0.5,10105.0,30.38099950519545,0.02449247796887205,1.1977938323913269,-0.48752389133843943,247.49648987545208,1.0721620793302733,0.02449247796887205,0.029736012107396667,-82.22246994115375,21.90232558139535,21.11825828797625,67.22414646214744,11.657595249876298
