timeframe,threshold,direction,adx_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
1minute,1.5,below,moderate(20-40),120851,0.024610436140156688,0.6672956616347069,0.005524955800353597,0.12720233331345293,0.022637496932223375,0.7747420660833224,0.014957990509773192,0.1877869997976895,0.015333608445008537,0.8564849287112876,0.03782760173924234,0.2670528494938452,0.01248841963743186,0.9163925965654378,0.08750341533510762,0.3624781856869473
1minute,1.5,below,strong(>40),57018,0.03688870009317353,0.6964765251869874,0.0072992700729927005,0.11749999730422125,0.03815897703822403,0.8051409618573798,0.019458264234383637,0.17258557916661987,0.028473225810233566,0.8842022177729862,0.044355459725858616,0.24172568796645327,0.01725123812969209,0.9375038596924598,0.09588505321229338,0.3220413663925888
1minute,1.5,below,weak(<20),44643,0.015550744882879549,0.6532105058632592,0.002903056209568656,0.1192628566372791,0.007386289462717684,0.7583209024799552,0.008600596680962148,0.18221114041379333,0.0010675198104271098,0.8416139938262531,0.02528296339850066,0.2661062654610622,0.0017649678561166091,0.9047875781755446,0.06709618287686003,0.36837616168135573
1minute,2.0,above,moderate(20-40),42170,0.012915540268997784,0.6934768841038632,0.0068446436400837925,0.20075962910998363,0.012810305121203961,0.803030303030303,0.01936303827751196,0.2853732016354176,0.005715088151951035,0.8843238406064116,0.04748118123914302,0.38242198042557124,0.013896559563174333,0.9408659234353801,0.10714917713678995,0.48488336089729345
1minute,2.0,above,strong(>40),30672,0.016134109322132478,0.732293718903396,0.00808094299929876,0.19625330484419215,0.019307421575753922,0.8425967096487328,0.02578923966207203,0.2711537567823008,0.023326404314096893,0.9163843436891804,0.06970374107979528,0.3544333371121103,0.013257870956640005,0.9623970395129521,0.14627352671998728,0.4374493379381076
1minute,2.0,above,weak(<20),11526,0.011548667430922935,0.6704433937014899,0.002676420733339281,0.17819199976459738,0.012480139842716368,0.7832346241457859,0.00929384965831435,0.262711431974698,0.010063344670108077,0.8632676709154113,0.025685592893008882,0.374329252193038,0.012992305159300754,0.9235738530603307,0.06438191174860397,0.5021688786732276
1minute,2.0,below,moderate(20-40),48397,0.03742058989047481,0.6761829686601188,0.004261030743336813,0.14687214832186846,0.03655013796119062,0.7834546686779913,0.010931112131348243,0.21724656265799086,0.03182144860690783,0.8666666666666667,0.02727272727272727,0.30799513893362257,0.03304157118861485,0.9241836867438532,0.06449850396773774,0.4142412320122538
1minute,2.0,below,strong(>40),27410,0.05404760514242342,0.7172036932353495,0.005313736574335783,0.1372141335029354,0.06218543682576881,0.82593222961473,0.012803651555005416,0.19888281772896865,0.0701797729963286,0.9017707438760071,0.0329611908559277,0.2745820791451886,0.08518260241825854,0.9509738969126805,0.07932511814849168,0.3567856845552031
1minute,2.0,below,weak(<20),16273,0.021088010773390693,0.6536312849162011,0.001945891657774151,0.1362600522930467,0.012315423697185067,0.7563536265283912,0.005057294667434863,0.20729268300740628,0.006806489422329754,0.8437690794383014,0.015534902652465911,0.30026904441427804,0.01668819520637352,0.9073361984468069,0.0486315313277539,0.4101624663487591
1minute,3.0,above,moderate(20-40),8730,0.011469902010625005,0.6923439896189689,0.004836616727615902,0.27724190156783296,0.015224508237226401,0.8128491620111732,0.015180957007529755,0.38753656271764875,-0.003564307201440172,0.8929510783798001,0.03577064702788006,0.5112757289764202,-0.0024734786295814554,0.9493920972644377,0.0831306990881459,0.6390865931930811
