symbol,entry_time,exit_time,entry_price,exit_price,qty,notional,gross_pnl,cost,net_pnl,exit_reason
DCMSHRIRAM,2025-03-04 13:12:00+05:30,2025-03-04 13:12:00+05:30,1025.6,1030.7279999999998,105,107687.99999999999,-538.4399999999926,53.843999999999994,-592.2839999999926,SL
ANURAS,2025-03-04 13:17:00+05:30,2025-03-04 13:17:00+05:30,714.25,717.82125,151,107851.75,-539.2587499999945,53.925875,-593.1846249999945,SL
CAPLIPOINT,2025-03-04 13:44:00+05:30,2025-03-04 13:54:00+05:30,1793.95,1802.9197499999998,60,107637.0,-538.1849999999849,53.8185,-592.0034999999849,SL
ANURAS,2025-03-04 13:53:00+05:30,2025-03-04 13:53:00+05:30,719.0,722.5949999999999,150,107850.0,-539.249999999987,53.925000000000004,-593.174999999987,SL
ANURAS,2025-03-04 13:56:00+05:30,2025-03-04 14:00:00+05:30,722.8,726.4139999999999,149,107697.2,-538.4859999999879,53.8486,-592.334599999988,SL
CONCORDBIO,2025-03-04 14:00:00+05:30,2025-03-04 14:12:00+05:30,1704.1,1712.6204999999998,63,107358.29999999999,-536.791499999991,53.67914999999999,-590.4706499999909,SL
ANURAS,2025-03-04 14:01:00+05:30,2025-03-04 14:01:00+05:30,725.95,729.57975,149,108166.55,-540.8327499999916,54.083275,-594.9160249999916,SL
CONCORDBIO,2025-03-04 14:13:00+05:30,2025-03-04 14:13:00+05:30,1716.5,1725.0824999999998,63,108139.5,-540.6974999999845,54.06975,-594.7672499999845,SL
CONCORDBIO,2025-03-04 14:25:00+05:30,2025-03-04 14:25:00+05:30,1739.2,1747.896,62,107830.40000000001,-539.1519999999946,53.915200000000006,-593.0671999999946,SL
CONCORDBIO,2025-03-04 14:41:00+05:30,2025-03-04 14:44:00+05:30,1772.75,1746.15875,60,106365.0,1595.4749999999967,53.182500000000005,1542.2924999999968,TP
INDIACEM,2025-03-04 14:41:00+05:30,2025-03-04 14:41:00+05:30,296.0,297.47999999999996,365,108040.0,-540.1999999999858,54.02,-594.2199999999858,SL
INDIACEM,2025-03-04 14:51:00+05:30,2025-03-04 14:59:00+05:30,297.7,299.1885,363,108065.09999999999,-540.3254999999956,54.03254999999999,-594.3580499999956,SL
NLCINDIA,2025-03-04 14:55:00+05:30,2025-03-04 14:58:00+05:30,222.94,224.05469999999997,485,108125.9,-540.6294999999857,54.06295,-594.6924499999857,SL
NLCINDIA,2025-03-04 14:59:00+05:30,2025-03-04 14:59:00+05:30,226.33,227.46165,477,107959.41,-539.79704999999,53.979705,-593.77675499999,SL
INDIACEM,2025-03-04 15:01:00+05:30,2025-03-04 15:03:00+05:30,297.6,293.136,362,107731.20000000001,1615.9679999999994,53.86560000000001,1562.1023999999993,TP
VTL,2025-03-04 15:06:00+05:30,2025-03-04 15:07:00+05:30,387.85,389.78925,278,107822.3,-539.1114999999885,53.91115,-593.0226499999885,SL
GODIGIT,2025-03-04 15:08:00+05:30,2025-03-04 15:08:00+05:30,320.7,322.30349999999993,337,108075.9,-540.3794999999798,54.037949999999995,-594.4174499999798,SL
ANURAS,2025-03-04 15:09:00+05:30,2025-03-04 15:10:00+05:30,730.0,733.65,147,107310.0,-536.5499999999967,53.655,-590.2049999999966,SL
USHAMART,2025-03-04 15:10:00+05:30,2025-03-04 15:24:00+05:30,316.15,311.40774999999996,341,107807.15,1617.1072500000041,53.903575,1563.203675000004,TP
CAPLIPOINT,2025-03-04 15:10:00+05:30,2025-03-04 15:20:00+05:30,1806.2,1815.2309999999998,59,106565.8,-532.8289999999836,53.282900000000005,-586.1118999999836,SL
ANURAS,2025-03-04 15:11:00+05:30,2025-03-04 15:29:00+05:30,734.05,733.35,147,107905.34999999999,102.89999999998996,53.952675,48.94732499998996,EOD
NLCINDIA,2025-03-04 15:16:00+05:30,2025-03-04 15:19:00+05:30,228.89,225.45665,471,107807.18999999999,1617.1078499999953,53.903594999999996,1563.2042549999953,TP
KALYANKJIL,2025-03-04 15:17:00+05:30,2025-03-04 15:17:00+05:30,461.7,464.0084999999999,233,107576.09999999999,-537.8804999999822,53.78805,-591.6685499999822,SL
NH,2025-03-04 15:20:00+05:30,2025-03-04 15:29:00+05:30,1543.95,1545.1,69,106532.55,79.34999999999057,53.266275,26.083724999990572,EOD
VIJAYA,2025-03-04 15:20:00+05:30,2025-03-04 15:24:00+05:30,978.75,973.85625,110,107662.5,-538.312499999995,53.831250000000004,-592.143749999995,SL
KALYANKJIL,2025-03-04 15:24:00+05:30,2025-03-04 15:28:00+05:30,463.45,456.49825,233,107983.84999999999,1619.7577500000007,53.991924999999995,1565.7658250000006,TP
VIJAYA,2025-03-04 15:26:00+05:30,2025-03-04 15:29:00+05:30,979.4,978.0,110,107734.0,-153.9999999999975,53.867000000000004,-207.86699999999752,EOD
CAPLIPOINT,2025-03-05 09:15:00+05:30,2025-03-05 09:15:00+05:30,1800.0,1808.9999999999998,60,108000.0,-539.9999999999864,54.0,-593.9999999999864,SL
ADANIGREEN,2025-03-05 10:52:00+05:30,2025-03-05 13:04:00+05:30,831.65,835.8082499999999,130,108114.5,-540.5724999999939,54.05725,-594.6297499999938,SL
ZENTEC,2025-03-05 10:53:00+05:30,2025-03-05 10:56:00+05:30,1168.8,1174.6439999999998,92,107529.59999999999,-537.6479999999838,53.764799999999994,-591.4127999999838,SL
PREMIERENE,2025-03-05 11:44:00+05:30,2025-03-05 11:46:00+05:30,940.05,944.7502499999998,115,108105.75,-540.528749999985,54.052875,-594.581624999985,SL
PREMIERENE,2025-03-05 11:49:00+05:30,2025-03-05 11:55:00+05:30,944.0,929.84,114,107616.0,1614.2399999999964,53.808,1560.4319999999964,TP
ZENSARTECH,2025-03-05 12:45:00+05:30,2025-03-05 13:25:00+05:30,701.8,712.3269999999999,154,108077.2,1621.1579999999892,54.0386,1567.1193999999891,TP
BSE,2025-03-05 13:53:00+05:30,2025-03-05 14:20:00+05:30,1456.5,1434.6525,74,107781.0,1616.7150000000063,53.8905,1562.8245000000063,TP
