timeframe,threshold,direction,nifty_regime,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
5minute,2.0,below,strong_down,10935,0.11355759128267758,0.7925170068027211,0.029124149659863947,0.21187168456817404,0.12368110759323588,0.8895027624309392,0.07243707796193984,0.2951403697961806,0.23369890223580697,0.9499591169255928,0.17955846279640228,0.3852719608707896,0.3289771376693461,0.9827539009033671,0.38242540377771694,0.4470558601895141
5minute,2.0,below,strong_up,2280,0.013203650616699363,0.7520242914979757,0.04251012145748988,0.27944725840493445,0.06716286710033212,0.8487858719646799,0.11147902869757174,0.37333005721238444,0.09285087497316337,0.9044259140474663,0.22129570237331622,0.5096479835238974,0.08747517015192127,0.9448888888888889,0.38133333333333336,0.6448873591391002
5minute,3.0,above,neutral,6405,-0.008563300736368764,0.8135374400590188,0.03559572113611213,0.3757507419197355,0.04246478834926847,0.910039113428944,0.09169926119078661,0.45736863034197217,0.1430281850112895,0.9572133845309929,0.22600109709270433,0.5553761702180399,0.16183895460330294,0.9851052901900359,0.42013353877760656,0.6577325667733791
5minute,3.0,above,strong_down,603,-0.057992801032696294,0.8088235294117647,0.09033613445378151,0.4048374294358011,-0.1994597274126722,0.8768472906403941,0.15270935960591134,0.5692136115769835,-0.23602327738897952,0.9507246376811594,0.3188405797101449,0.6733180673996115,0.06693819250478741,0.9598214285714286,0.5357142857142857,0.7278802656193621
5minute,3.0,above,strong_up,1541,0.16767683177972614,0.8420221169036335,0.03475513428120063,0.3045942985441441,0.09640216535077112,0.9316712834718375,0.07663896583564174,0.3946147761424336,0.08810439596966725,0.9524375743162902,0.19500594530321047,0.498689055060016,0.3760433653928673,0.9876796714579056,0.4414784394250513,0.5301846875479984
5minute,3.0,below,neutral,5002,0.027098591694555293,0.7401665895418787,0.01989819527996298,0.3523215714492057,0.06411440846060805,0.847255369928401,0.04852824184566428,0.4807882799015181,0.0679928553350037,0.9091549295774648,0.13732394366197184,0.6404402897364383,0.09668226897421858,0.953168044077135,0.30303030303030304,0.841540248747291
5minute,3.0,below,strong_down,2051,0.1855021811784579,0.8067978533094812,0.020870602265951103,0.2635786973552056,0.23279764232987774,0.8896599583622484,0.062456627342123525,0.3838470648926347,0.38003772761116467,0.9476236663433559,0.14451988360814744,0.5272951433704031,0.3480316790086525,0.9827586206896551,0.3007662835249042,0.5561317707268698
5minute,3.0,below,strong_up,411,0.106909693038055,0.7387387387387387,0.03003003003003003,0.3040836048351357,0.10993068896829601,0.8303886925795053,0.09540636042402827,0.43507741654114485,0.062342608985578,0.9297520661157025,0.1652892561983471,0.5819979424967661,0.1224609184639723,0.9627329192546584,0.2795031055900621,0.6954263781726154
5minute,4.0,above,neutral,1967,0.09819378784131612,0.8233782915863841,0.03789338471419396,0.4182560006926009,0.17604251313108527,0.9084615384615384,0.08461538461538462,0.5083864137399609,0.43175573183497234,0.9553752535496958,0.21399594320486814,0.5854695809028465,0.5201133332001026,0.9738562091503268,0.39215686274509803,0.7194381831833265
5minute,4.0,above,strong_down,220,0.002912183273609919,0.823170731707317,0.06707317073170732,0.4202031469910207,-0.12875685973192816,0.9136690647482014,0.1223021582733813,0.6060897731030412,-0.2671376659982056,0.9739130434782609,0.23478260869565218,0.7331317337712272,-0.13792742824012671,0.9726027397260274,0.4383561643835616,0.712106984401092
5minute,4.0,above,strong_up,401,0.41699017044493997,0.8823529411764706,0.0457516339869281,0.3304685851778239,0.2686474195572413,0.9310344827586207,0.07662835249042145,0.4318127543480181,0.3606257433198137,0.9310344827586207,0.1724137931034483,0.5185353117396182,0.8288296341201883,0.9770114942528736,0.4482758620689655,0.6423130205421616
5minute,4.0,below,neutral,1381,0.06435477380057315,0.7440878378378378,0.02195945945945946,0.4570867670328201,0.15652885713679462,0.8572825024437928,0.056695992179863146,0.6001657538285466,0.07545459541068945,0.9208173690932312,0.1111111111111111,0.7588407005030214,0.05827112476873366,0.9558441558441558,0.2779220779220779,0.9923660825422025
5minute,4.0,below,strong_down,500,0.22365606946562236,0.7652582159624414,0.023474178403755867,0.38448894646863674,0.38229397060704,0.8941798941798942,0.07407407407407407,0.5792876068910298,0.3480560431479647,0.9448529411764706,0.13970588235294118,0.7926832849562628,0.276979976415281,1.0,0.2616822429906542,0.7683612530461048
5minute,4.0,below,strong_up,109,0.17644583895349517,0.7111111111111111,0.03333333333333333,0.41208502857868046,0.5834679511945098,0.84,0.13333333333333333,0.46842087001019594,0.9661203992365069,0.8888888888888888,0.2222222222222222,0.5951492473438311,1.457400117139254,0.9473684210526315,0.3684210526315789,0.5405188451855577
