timeframe,threshold,direction,macd_sign,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
5minute,2.0,below,negative,29130,0.06242705746014655,0.7639867057054681,0.026628155416633693,0.23674107184970325,0.07040448604336763,0.8635112334606163,0.0697984193233283,0.3344381213800666,0.10522651007844157,0.9257856028526855,0.1687653220414531,0.4453263373316653,0.19886479794898562,0.9626601253747615,0.35913509584809666,0.5541289467349553
5minute,2.0,below,positive,9767,-0.01211194247727804,0.708036739380023,0.013777267508610792,0.24704384592130996,0.00626908926695966,0.83175702677501,0.04302650859198082,0.3419430975506743,0.018126651191275826,0.9066464684718804,0.12668055292558228,0.487240159528825,0.10194126119674603,0.9524987629886195,0.3587333003463632,0.6919756869803915
5minute,3.0,above,negative,1330,-0.008058975112385822,0.7430025445292621,0.01441899915182358,0.3909772049993787,0.02043577341720406,0.857421875,0.0458984375,0.5431573284382134,-0.002766641193773948,0.9244505494505495,0.13873626373626374,0.7116622096962035,0.2665537362765933,0.9613899613899614,0.35135135135135137,0.7745739288307548
5minute,3.0,above,positive,7219,0.024685983426312664,0.8330827067669173,0.04394319131161237,0.3600129317231188,0.0390605130746905,0.9226366686402211,0.1026248273139925,0.43558039498234385,0.1257706246714233,0.9615009746588694,0.24293372319688109,0.5259511833612273,0.18515644059374403,0.9858274280950396,0.44268445185493954,0.6257756491351463
5minute,3.0,below,negative,5779,0.10162291602858528,0.7717279638380933,0.024450380110951304,0.32585748906343315,0.14441788706575515,0.866853538892782,0.05816398037841626,0.44334295011044217,0.19744387804217228,0.9271463119709794,0.14782345828295043,0.5845130899379603,0.1804699572628844,0.961060032449973,0.300703082747431,0.7413056090941572
5minute,3.0,below,positive,1685,-0.02101742893468284,0.7112627986348122,0.008191126279863481,0.32769061324676985,-0.008159598556971391,0.8245469522240527,0.042009884678747944,0.48711034882804993,-0.06601097002543448,0.8906832298136645,0.11180124223602485,0.7077837468767888,0.028260307296182712,0.9615384615384616,0.3006993006993007,0.8863874166824718
5minute,4.0,above,negative,380,0.12574925352042612,0.7432835820895523,0.008955223880597015,0.3998429518245165,0.24674838908203195,0.8689655172413793,0.05172413793103448,0.5261619661183542,0.14748438721591975,0.9390862944162437,0.1319796954314721,0.7387305659243139,0.8655541398316011,0.9814814814814815,0.3148148148148148,0.5698447133824744
5minute,4.0,above,positive,2208,0.14115739831714547,0.8498817966903073,0.047872340425531915,0.40621389325538304,0.14859433137469752,0.9212765957446809,0.09361702127659574,0.5001879255558738,0.39669640615345536,0.955736224028907,0.22312556458897922,0.5612609782745713,0.4496134022918013,0.9734513274336283,0.41415929203539825,0.7209124853220196
5minute,4.0,below,negative,1565,0.14265166562552548,0.7699849170437406,0.026395173453996983,0.4455806024472453,0.2860844424065407,0.882604970008569,0.07455012853470437,0.6012179186760778,0.2126641605167498,0.9302071973827699,0.13304252998909488,0.7627420883819144,0.08352070485213083,0.961456102783726,0.2826552462526767,0.9254104780347489
5minute,4.0,below,positive,425,-0.0048193725705841335,0.6684491978609626,0.0106951871657754,0.40436042002548744,0.04704108023157688,0.8025889967637541,0.02912621359223301,0.5386748729035418,0.09753602935749557,0.900497512437811,0.0845771144278607,0.7355324852657471,1.0864805682181604,0.9841269841269841,0.2698412698412698,0.8356923607857879
