symbol,timeframe,count
ASTRAL,1minute,529
BDL,15minute,529
APOLLOTYRE,1minute,528
BHARTIHEXA,5minute,527
RITES,5minute,526
AUROPHARMA,1minute,526
SUNDARMFIN,5minute,525
COFORGE,5minute,525
PTCIL,15minute,525
BLS,15minute,523
HEG,15minute,522
BPCL,1minute,521
SUMICHEM,5minute,520
JKTYRE,5minute,519
PINELABS,5minute,518
M&M,1minute,517
FACT,15minute,517
SBFC,5minute,515
NHPC,1minute,515
TORNTPOWER,5minute,515
INTELLECT,15minute,514
MOTILALOFS,15minute,513
BALRAMCHIN,5minute,513
CONCORDBIO,15minute,511
DALBHARAT,1minute,510
SAPPHIRE,15minute,510
ANGELONE,15minute,508
SAREGAMA,15minute,508
COHANCE,15minute,506
AADHARHFC,5minute,504
KEI,5minute,500
AIAENG,1minute,500
OFSS,5minute,500
UTIAMC,5minute,497
NATCOPHARM,5minute,497
LAURUSLABS,5minute,496
WAAREEENER,15minute,495
ABDL,15minute,495
TBOTEK,15minute,495
ADANIGREEN,15minute,493
CDSL,5minute,493
CARBORUNIV,5minute,491
KIRLOSENG,15minute,491
IDFCFIRSTB,1minute,491
ITI,15minute,491
NAVA,15minute,488
EIHOTEL,5minute,488
BEL,1minute,486
CAMS,5minute,485
SONATSOFTW,15minute,485
ANURAS,5minute,484
CESC,5minute,482
JSWENERGY,5minute,481
GICRE,5minute,481
JUBLINGREA,15minute,480
JUBLPHARMA,15minute,476
INDIACEM,5minute,476
FIVESTAR,15minute,474
SAIL,5minute,474
URBANCO,5minute,473
POLYMED,15minute,473
COCHINSHIP,15minute,472
DMART,1minute,470
LTM,1minute,470
HINDPETRO,5minute,469
SARDAEN,15minute,468
TITAGARH,15minute,468
TATAPOWER,1minute,468
GAIL,1minute,468
SOLARINDS,5minute,468
COROMANDEL,5minute,468
TTML,15minute,467
HONAUT,1minute,467
PERSISTENT,5minute,467
ADANIENT,5minute,466
IGIL,15minute,466
JSWDULUX,5minute,466
PFC,5minute,465
MEESHO,5minute,465
ANANDRATHI,5minute,464
LEMONTREE,5minute,464
NCC,5minute,463
WELSPUNLIV,15minute,462
CUB,5minute,461
DELHIVERY,5minute,460
GRAPHITE,15minute,460
MMTC,15minute,460
PCBL,15minute,459
PIIND,1minute,457
PPLPHARMA,15minute,457
ZFCVINDIA,5minute,456
RAILTEL,15minute,456
AEGISVOPAK,15minute,456
ATHERENERG,15minute,456
JSL,5minute,455
JIOFIN,1minute,455
ENDURANCE,5minute,455
LICHSGFIN,1minute,455
ZEEL,15minute,454
SONACOMS,5minute,453
IIFL,15minute,451
OLECTRA,15minute,451
POLICYBZR,15minute,451
CREDITACC,15minute,451
KIMS,5minute,450
GROWW,5minute,450
CONCOR,1minute,450
SAGILITY,15minute,449
ANTHEM,1minute,448
NLCINDIA,15minute,446
IEX,5minute,445
GPIL,15minute,445
TRITURBINE,15minute,444
REDINGTON,15minute,444
EIDPARRY,5minute,441
SUPREMEIND,5minute,436
NIVABUPA,5minute,436
NUVOCO,5minute,436
NUVAMA,15minute,436
VIJAYA,15minute,436
BATAINDIA,1minute,433
JINDALSAW,15minute,431
CHAMBLFERT,5minute,430
AARTIIND,5minute,430
BAJAJHLDNG,5minute,429
BEML,15minute,429
SHRIRAMFIN,5minute,427
JSWINFRA,5minute,427
JSWCEMENT,1minute,427
CLEAN,5minute,425
VOLTAS,5minute,425
ENGINERSIN,15minute,425
CRISIL,5minute,424
IRB,5minute,423
ADANIENSOL,15minute,423
LTFOODS,15minute,421
LINDEINDIA,5minute,419
RECLTD,5minute,418
M&MFIN,5minute,418
BANKBARODA,1minute,417
UBL,1minute,416
NAVINFLUOR,5minute,416
ENRIN,5minute,416
APTUS,5minute,416
JBMA,15minute,415
CHOLAHLDNG,15minute,415
SJVN,5minute,414
SHYAMMETL,5minute,414
LODHA,15minute,414
ADANIPOWER,15minute,414
TIMKEN,5minute,412
MOTHERSON,5minute,412
BOSCHLTD,1minute,412
BANDHANBNK,5minute,411
LLOYDSME,15minute,410
DCMSHRIRAM,15minute,409
KARURVYSYA,5minute,409
SIEMENS,5minute,409
KPRMILL,15minute,407
DIVISLAB,1minute,407
AWL,5minute,405
ZENSARTECH,15minute,405
ASTERDM,5minute,404
GLAXO,5minute,402
HOMEFIRST,15minute,402
TRENT,5minute,402
MAHABANK,5minute,401
MGL,5minute,399
HEROMOTOCO,1minute,398
KEC,15minute,398
STARHEALTH,5minute,398
ABBOTINDIA,1minute,396
BIKAJI,5minute,396
MCX,15minute,395
PVRINOX,5minute,395
PAGEIND,1minute,395
GLAND,5minute,395
SUZLON,15minute,395
AJANTPHARM,5minute,394
CRAFTSMAN,15minute,394
CYIENT,5minute,391
DEVYANI,15minute,391
RVNL,15minute,391
AAVAS,5minute,391
VBL,5minute,390
NTPCGREEN,5minute,390
IPCALAB,5minute,389
360ONE,15minute,387
IKS,15minute,386
THERMAX,15minute,386
TVSMOTOR,1minute,386
BAJFINANCE,1minute,386
MFSL,1minute,386
HONASA,15minute,386
RKFORGE,15minute,386
NAUKRI,5minute,385
FORTIS,5minute,384
CGCL,15minute,383
VEDL,5minute,383
BERGEPAINT,1minute,382
CIEINDIA,5minute,379
LUPIN,1minute,379
GILLETTE,5minute,378
POONAWALLA,15minute,378
HINDALCO,1minute,378
BHARATFORG,5minute,378
GODREJIND,15minute,375
IOC,1minute,375
ASAHIINDIA,15minute,373
UNIONBANK,5minute,373
EMMVEE,15minute,373
IRCON,15minute,372
NH,5minute,372
OBEROIRLTY,5minute,372
ATGL,15minute,372
TMPV,1minute,371
IGL,5minute,371
JAINREC,15minute,371
NMDC,5minute,370
MAPMYINDIA,15minute,370
NBCC,15minute,369
HUDCO,15minute,369
IRFC,5minute,369
WELCORP,15minute,368
NIACL,15minute,367
INDIANB,5minute,367
BLUESTARCO,15minute,366
HINDZINC,5minute,364
SBICARD,1minute,364
NAM-INDIA,15minute,362
DIXON,15minute,361
FLUOROCHEM,15minute,361
BIOCON,5minute,361
NYKAA,5minute,360
MAXHEALTH,5minute,359
SOBHA,15minute,359
LTF,5minute,358
VTL,15minute,357
CANFINHOME,5minute,357
ICICIPRULI,1minute,357
TENNIND,5minute,356
PWL,15minute,352
SIGNATURE,15minute,352
TRIDENT,5minute,351
GODREJPROP,15minute,351
ABSLAMC,15minute,350
ONGC,1minute,350
TRAVELFOOD,5minute,350
PIRAMALFIN,5minute,349
CAPLIPOINT,15minute,349
ELGIEQUIP,15minute,349
CHOICEIN,5minute,348
ICICIAMC,1minute,348
CENTRALBK,5minute,348
USHAMART,15minute,347
PNBHOUSING,15minute,346
RAINBOW,5minute,346
EMCURE,15minute,346
ACE,15minute,345
MEDANTA,5minute,345
GLENMARK,5minute,344
IOB,5minute,343
INDUSINDBK,5minute,343
ABB,5minute,343
CPPLUS,15minute,342
RHIM,15minute,342
GMRAIRPORT,5minute,341
HAL,5minute,340
EXIDEIND,5minute,340
ARE&M,5minute,339
MPHASIS,5minute,339
KAJARIACER,5minute,337
JUBLFOOD,5minute,336
TATACOMM,5minute,336
MANKIND,5minute,335
BHEL,15minute,334
BRIGADE,15minute,334
DOMS,15minute,333
IDBI,15minute,333
ERIS,15minute,333
ABCAPITAL,5minute,333
RRKABEL,15minute,332
ABFRL,15minute,332
GODIGIT,15minute,330
CUMMINSIND,5minute,330
JKCEMENT,5minute,330
UCOBANK,5minute,329
LATENTVIEW,15minute,329
TEGA,15minute,328
INDUSTOWER,5minute,328
CCL,15minute,327
PHOENIXLTD,15minute,326
POLYCAB,5minute,326
MANAPPURAM,15minute,326
BLUEDART,5minute,325
TATAELXSI,5minute,325
TECHM,1minute,323
KPITTECH,15minute,323
PRESTIGE,15minute,323
EMAMILTD,5minute,323
HEXT,15minute,322
ZYDUSWELL,15minute,322
ETERNAL,15minute,322
LALPATHLAB,5minute,321
DEEPAKNTR,5minute,320
FEDERALBNK,1minute,320
NATIONALUM,15minute,320
RBLBANK,15minute,319
SCHAEFFLER,5minute,319
SPLPETRO,15minute,318
THELEELA,5minute,317
ATUL,5minute,317
ITCHOTELS,5minute,317
BBTC,15minute,316
UNOMINDA,15minute,316
GRANULES,15minute,315
AFCONS,15minute,315
VMM,15minute,314
SAILIFE,15minute,314
TIINDIA,15minute,314
HYUNDAI,5minute,311
FINCABLES,15minute,311
J&KBANK,15minute,311
DLF,5minute,311
BAJAJFINSV,1minute,310
TATASTEEL,1minute,310
BAYERCROP,5minute,309
TATAINVEST,15minute,309
HAVELLS,1minute,309
COLPAL,1minute,307
MSUMI,5minute,306
ABLBL,5minute,305
INDGN,15minute,305
MINDACORP,15minute,304
OIL,15minute,303
CANBK,5minute,303
IREDA,15minute,302
CASTROLIND,5minute,301
SUNTV,5minute,301
CANHLIFE,5minute,300
RITES,15minute,300
CGPOWER,15minute,299
CHOLAFIN,5minute,299
CHALET,15minute,299
BANKINDIA,5minute,299
TATATECH,5minute,299
KPIL,15minute,299
APLAPOLLO,5minute,298
SYNGENE,5minute,295
JINDALSTEL,5minute,295
BSOFT,15minute,293
CROMPTON,5minute,292
CEATLTD,15minute,292
BHARTIHEXA,15minute,289
WHIRLPOOL,15minute,288
OFSS,15minute,287
ASHOKLEY,5minute,287
COFORGE,15minute,286
SUNDARMFIN,15minute,286
PINELABS,15minute,284
BELRISE,15minute,284
NSLNISP,15minute,282
DRREDDY,1minute,281
AFFLE,15minute,281
ACC,1minute,280
RADICO,15minute,280
UPL,5minute,279
INDIACEM,15minute,278
