symbol,n,total_pnl,avg_pnl,win_rate
CENTRALBK,6,5.647613580449408,0.9412689300749014,83.33333333333334
SAILIFE,22,5.5478139803456745,0.2521733627429852,40.909090909090914
FLUOROCHEM,12,5.535025784009344,0.4612521486674453,50.0
BSOFT,9,5.500000000000005,0.6111111111111117,55.55555555555556
PWL,57,5.382701582676603,0.09443336109958952,29.82456140350877
WAAREEENER,39,5.359086975872247,0.13741248656082683,33.33333333333333
TEGA,12,5.272430184194914,0.43936918201624287,50.0
BLUESTARCO,16,5.2337171238289555,0.3271073202393097,43.75
POLYMED,26,5.075145755827577,0.19519791368567604,38.46153846153847
AWL,14,5.000000000000021,0.35714285714285865,42.857142857142854
JKTYRE,6,5.000000000000019,0.8333333333333365,66.66666666666666
HBLENGINE,32,4.8641178417742506,0.15200368255544533,34.375
TENNIND,4,4.659946123411029,1.1649865308527572,100.0
KALYANKJIL,42,4.6157953326800145,0.10989988887333368,35.714285714285715
POWERINDIA,32,4.606776325659011,0.1439617601768441,34.375
COHANCE,51,4.500000000000202,0.088235294117651,29.411764705882355
CEMPRO,43,4.500000000000157,0.10465116279070133,30.23255813953488
CDSL,11,4.5000000000000435,0.40909090909091306,45.45454545454545
JSWDULUX,11,4.5000000000000355,0.40909090909091234,45.45454545454545
BELRISE,7,4.499999999999977,0.6428571428571396,57.14285714285714
MRPL,26,4.487263087330273,0.17258704182039514,34.61538461538461
ETERNAL,13,4.442739079102769,0.34174915993098226,46.15384615384615
NLCINDIA,18,4.441933313443171,0.24677407296906503,38.88888888888889
CANHLIFE,12,4.431833674164963,0.3693194728470803,41.66666666666667
HINDCOPPER,30,4.3396783604924565,0.14465594534974854,33.33333333333333
ELGIEQUIP,17,4.210342397701495,0.2476671998647938,47.05882352941176
TORNTPOWER,6,4.096846846846848,0.682807807807808,66.66666666666666
GPIL,12,4.0844815477898315,0.3403734623158193,50.0
AJANTPHARM,17,4.0538234590544295,0.23846020347378996,41.17647058823529
ADANIPOWER,33,4.000000000000168,0.1212121212121263,30.303030303030305
HONASA,16,4.00000000000011,0.2500000000000069,37.5
FIVESTAR,24,4.0000000000000195,0.1666666666666675,33.33333333333333
TRAVELFOOD,4,4.000000000000019,1.0000000000000047,75.0
SYNGENE,8,4.000000000000005,0.5000000000000007,50.0
RITES,12,3.9999999999999893,0.3333333333333324,41.66666666666667
SAIL,4,3.999999999999985,0.9999999999999962,75.0
UTIAMC,4,3.95609862641363,0.9890246566034075,75.0
HINDPETRO,4,3.9290235120821757,0.9822558780205439,75.0
ENDURANCE,5,3.9210318504869646,0.7842063700973929,60.0
GLAXO,16,3.888678329947618,0.24304239562172614,37.5
INOXWIND,20,3.8791531199055393,0.19395765599527698,40.0
